137	772	3	17.25
3542	119	3	24.62
104	700	5	17.85
790	111	16	129.93
3047	14	3	9.39
135	172	9	30.46
1239	14	5	11.72
177	107	10	20.1
106	3974	3	24.14
1651	417	5	69.34
114	327	4	10.74
436	12	11	22.47
365	113	5	17.16
146	117	7	6.01
1841	2770	3	51.9
2516	102	3	12.6
173	110	6	7.05
1492	1520	4	63.57
101	1196	5	18.25
142	116	7	4.28
426	376	6	63.11
222	217	3	15.29
130	118	25	60.3
102	2760	4	21.73
106	3717	3	21.93
548	111	3	10.12
115	185	4	4.35
147	201	3	7.89
339	109	3	5.66
2042	14	5	17.03
124	213	3	5.54
1416	106	7	50.59
149	173	6	19.85
257	152	4	16.58
102	1223	3	7.97
5947	511	3	51.2
1171	506	14	244.25
138	121	8	7.55
116	2168	4	29.49
101	363	9	18.33
450	349	5	49.55
57	13	7	15.16
116	527	6	29.86
1233	102	3	7.97
2	620	3	7.99
679	121	4	20.24
388	104	3	3.96
3427	128	4	40.31
102	1676	3	10.1
212	122	8	26.58
16	133	23	57.73
12	333	28	86.39
8	1113	3	18.1
102	965	7	27.73
604	14	7	10.97
103	306	6	8.96
107	1052	5	28.05
9	192	3	4.6
865	106	4	18.42
286	171	3	14.35
9	13	72	391.25
501	199	3	22.01
1582	110	3	16.56
182	171	29	227.38
249	102	9	10.1
2249	12	4	13.96
4946	14	3	12.98
172	153	4	11.44
282	122	3	6.99
248	111	6	15.09
112	136	14	16.84
103	493	3	4.54
13	103	35	42.11
105	1573	5	30.72
12	1143	3	4.62
1019	101	4	10.97
2583	14	3	8.26
101	613	4	7.16
189	324	6	42.72
103	1252	4	15.58
1216	103	4	15.58
184	752	5	44.02
103	1116	4	14.97
216	171	4	17.88
181	215	4	19.32
126	3179	3	26.59
239	12	12	7.68
934	102	3	6.21
12	436	14	35.54
175	126	4	6.58
101	781	3	4.9
252	372	11	111.31
109	394	5	16.38
1262	111	3	15.22
274	665	6	63.73
844	14	4	4.64
305	111	4	9.47
3348	103	3	17.31
660	764	10	148.71
1405	14	3	4.89
118	917	3	14.62
215	1702	5	58.35
2560	189	4	45.86
101	5320	3	21.6
425	453	3	28.62
141	226	4	12.86
13	145	6	9.1
12	1126	13	68.62
102	662	8	27.38
150	1565	3	24
318	102	6	6.29
120	3628	3	24.9
167	138	4	7.52
1121	12	3	4.62
12	1503	3	5.85
102	1002	4	11.39
175	1142	3	25.42
108	221	27	131.31
176	105	20	58.2
109	144	24	52.76
388	148	4	21.19
2	634	3	8.19
428	109	3	7.78
164	12	24	12.62
4753	12	4	24.68
102	1838	4	17.16
4869	295	3	41.83
900	135	4	26.27
219	104	5	3.93
2963	14	4	15.75
404	246	4	32.29
479	111	4	14.4
105	906	3	11.21
149	139	8	19.05
2079	14	3	7.35
2994	14	3	9.39
154	242	4	17.23
151	719	4	27.33
139	554	3	15.71
321	117	3	6.96
358	102	6	7.87
864	108	3	12.07
1691	112	3	17.53
125	135	47	209.68
616	103	3	5.83
102	237	8	6.52
107	5870	3	28.64
102	1431	5	20.65
133	304	5	21.6
423	122	3	10.45
12	1050	4	7.81
124	420	3	11.4
143	310	3	11.13
398	127	4	17.58
579	16	3	12.33
124	553	4	20.34
135	188	4	9.32
274	236	3	18.37
538	123	3	13.26
483	106	3	8.38
118	1115	4	24.08
170	117	13	36.68
152	1441	3	23.69
122	1064	3	16.64
111	212	6	12.55
8	1871	4	31.7
101	1222	6	24.53
111	148	12	17.61
102	481	8	21.42
128	3583	3	27.26
2865	16	5	47.2
264	151	3	10.97
184	1150	4	37.44
486	153	4	25.29
3033	14	3	9.39
117	886	7	46.32
6	5256	3	52.84
102	2766	4	21.73
222	147	4	13.88
102	3945	3	17.5
159	356	3	15.28
101	2811	3	13.45
116	916	4	21.16
169	135	12	46.05
1253	14	6	16.52
102	1197	4	13.04
8	1033	7	55.22
149	142	22	97.01
142	3788	3	28.86
800	101	3	5.13
194	1644	4	41.65
389	123	4	16.26
104	666	4	12.15
261	115	4	8.5
2017	128	5	44.3
455	112	3	8.87
483	119	6	30.22
139	173	3	4.87
6311	123	3	32.93
109	1795	6	44.4
118	363	5	18.75
101	1419	5	20.09
451	246	4	33.42
5695	1206	3	57.13
234	101	30	91.09
140	523	3	15.2
101	3273	3	14.98
141	111	8	4.6
105	1543	4	22.32
712	141	4	25.3
112	102	152	254.25
103	377	4	5.54
227	132	3	7.34
132	377	5	24.93
12	559	6	8.89
12	492	6	7.38
313	145	3	11.41
369	104	4	6.78
2966	111	6	59.24
109	590	5	21.53
104	105	264	813.6
168	122	6	10.47
104	308	13	43.71
136	3546	3	28.04
5170	574	3	52.17
1184	101	5	18.25
186	114	5	7.1
128	382	3	11.37
129	738	3	16.12
121	191	7	17.76
148	451	3	15.46
1900	1420	4	65.63
980	106	3	12.66
16	234	5	12.93
2769	115	4	32.64
150	556	6	43.41
217	12	12	5.35
101	1854	3	10.48
1336	12	3	5.4
855	102	6	19.56
5848	4288	3	67.18
192	153	14	82.65
108	101	141	168.43
203	149	4	13.45
9	103	48	60.93
102	1036	3	7.18
145	149	13	45.24
463	14	6	5
102	960	3	6.51
381	118	5	19.3
920	102	3	6.21
9	261	4	12.05
529	115	5	22.62
931	12	7	19.3
16	2944	3	23.26
101	2133	4	17.93
126	3557	4	39.41
4005	2734	3	58.86
953	162	3	22.81
109	6226	3	28.89
104	502	6	19.52
295	111	11	46.43
704	109	4	16.88
323	198	3	17.78
101	917	8	32.35
16	249	7	23.89
12	203	28	43.52
801	14	5	7.3
201	688	3	23.95
105	430	4	10.79
12	255	10	5.34
103	1195	4	15.58
201	988	3	26.69
1061	410	3	34.06
101	2388	4	19.41
142	1627	3	22.73
104	206	22	69.8
595	161	4	28.33
195	102	12	10.82
1053	12	4	7.81
567	14	10	21.3
1494	14	3	4.89
117	3100	3	22.59
102	840	3	5.66
429	107	3	7.55
13	122	9	10.2
1283	101	6	25.65
2973	14	3	9.39
116	1928	3	19.01
1079	207	3	28.05
631	12	9	22.14
104	3270	3	18.7
114	328	9	38.42
123	421	3	11.37
118	2890	3	22.72
237	104	5	4.69
651	102	3	4.36
1790	222	4	44.61
102	275	11	19.09
105	724	3	9.8
398	112	3	7.73
102	1401	5	20.65
272	104	5	6.6
113	1814	3	17.87
21	2	18	25.14
120	340	3	8.02
197	1134	4	39
107	1434	5	31.55
104	909	3	9.26
1939	14	3	6.59
115	155	6	5.66
383	111	15	86.25
2	160	10	9.3
347	127	3	10.21
8	2268	6	57.08
169	120	4	4.18
12	656	17	70.24
205	2772	3	34.5
136	1406	3	21.32
106	190	8	14.74
138	104	15	6.27
102	1212	5	18.8
780	12	6	12.2
1235	121	4	25.69
1767	113	3	17.87
114	582	3	11.01
103	616	4	9.89
123	241	3	6.48
114	448	4	14.49
111	104	58	58.32
275	110	3	4.67
2309	9	4	34.73
142	109	9	5.53
197	217	4	21.06
2613	840	3	44.89
295	14	33	90.96
16	315	5	17.25
618	324	4	39.89
116	468	12	74.61
2775	112	4	31.92
121	117	11	5.41
171	104	12	14.05
104	466	3	5.41
104	568	3	6.48
151	117	11	18.73
107	1000	3	13.03
108	202	5	6.85
415	102	5	7.28
108	254	5	9.9
101	1689	3	9.77
102	1033	3	7.18
463	111	3	8.98
178	107	15	41.15
253	116	4	8.3
109	3793	5	48.16
101	2081	8	57.61
809	101	4	8.94
145	516	3	15.61
114	697	7	40.99
123	864	3	16.16
1087	1172	11	202.28
119	1875	3	19.94
181	1552	6	66.81
292	135	3	9.67
4384	1675	3	54.96
151	365	5	28.25
109	1128	3	14.07
377	8	3	10.48
1243	135	4	29.5
816	112	3	12.39
120	633	8	51.71
109	438	6	23.93
1056	275	5	56.58
382	215	3	20.41
195	161	6	27.43
2281	14	5	18.7
332	109	3	5.51
1368	101	3	8.11
132	426	6	34.56
639	14	10	24.23
135	111	33	86.28
882	101	4	9.67
110	333	3	5.88
119	162	5	5.62
133	138	13	32.36
325	215	3	18.78
3015	12	3	10.47
146	102	105	322.35
101	1572	3	9.15
875	112	6	35.07
133	1402	3	21.13
118	523	3	11.07
177	122	8	20.61
109	1809	5	34.38
6764	2160	3	61.09
129	1152	3	19.13
107	560	6	27.25
561	148	4	25.3
173	171	3	8.78
193	480	3	21.15
111	106	19	5.82
111	159	6	5.65
213	703	3	24.91
113	682	4	17.96
111	309	6	18.88
2562	363	3	38.83
12	647	11	32.87
867	12	4	6.16
149	112	9	9.53
102	1207	3	7.97
1181	106	3	14.26
1222	101	7	31.39
3688	14	3	10.86
383	14	9	9.08
129	342	4	16.16
102	1190	6	25.2
1045	101	5	16.74
1369	14	3	4.46
1762	14	3	5.95
169	132	3	4.01
1371	199	3	28.4
1986	119	4	29.47
408	680	4	43.59
180	126	4	7.09
500	468	4	42.83
265	433	3	23.8
160	136	12	43.14
101	1161	3	7.25
105	1727	3	15.38
114	549	8	44.79
442	4500	4	67.05
1795	14	7	28.65
123	153	7	12.46
107	256	4	6.42
116	2030	3	19.01
572	108	4	14.87
1127	102	3	7.56
142	513	3	15.27
1267	112	3	15.74
125	250	3	7.04
110	113	32	37.83
104	602	6	21.85
165	127	7	17.32
200	111	5	7.82
592	14	9	17.84
2	2751	3	18.2
460	650	5	58.62
294	101	7	7.37
12	855	17	84.82
117	1616	7	57.69
105	328	10	36.24
137	108	12	9.63
12	495	12	30.46
296	115	3	5.8
6162	12	3	18.51
175	257	5	28.21
515	12	7	10.78
101	825	6	18.91
106	872	3	12
224	529	3	23.55
621	12	4	3.96
161	121	6	8.84
114	724	5	25.96
13	193	3	6.02
102	730	9	34.88
145	351	3	12.38
3282	453	3	43.64
730	103	3	6.67
105	3763	3	20.76
129	1750	4	32.01
2	1846	8	64.27
1962	14	4	11.36
3595	12	3	11.96
1105	115	3	15.33
102	883	3	5.93
113	266	5	12.52
12	300	58	279.49
105	531	3	7.96
102	1703	3	10.1
1443	12	7	27.35
530	101	4	6.03
119	4210	4	41.78
281	116	3	5.66
446	12	6	6.16
112	117	20	15.91
102	598	7	20.31
122	286	7	27.66
102	673	8	27.38
122	115	24	34.99
118	928	5	29.95
104	1562	3	12.71
131	120	8	6.12
718	101	6	16.7
360	122	5	19.72
124	2134	4	32.9
559	103	3	5.3
1370	111	4	23.57
1847	146	3	24.84
1262	14	3	4.07
121	403	3	9.76
549	101	22	119.29
166	3282	3	32.85
105	327	35	228.77
17	102	5	7.65
12	173	61	134.59
164	59	3	7.08
12	125	622	3539.03
132	141	15	42.92
105	504	6	23.44
2863	370	3	40.19
101	1034	3	6.88
2	4591	3	21.97
101	1101	4	12.01
3639	246	3	37.94
300	107	3	4.67
116	426	3	9.14
4648	14	3	12.98
118	808	3	13.7
109	1598	3	16.13
102	2351	3	12.6
151	251	9	50.94
112	365	3	7.11
127	224	13	64.75
12	1492	9	42.31
145	121	7	6.85
145	175	3	5.66
111	196	7	14.52
733	107	3	10.91
657	14	21	93.68
102	422	4	4.55
102	346	7	10.56
2487	14	4	13.94
184	1338	7	78.11
106	308	3	4.86
16	727	3	13.69
106	105	46	42.76
627	14	13	38.3
149	127	7	11.98
479	14	7	7.75
117	1792	4	27.78
2	13	26	35.53
1186	12	5	13.44
2756	15	3	42.71
1032	102	8	36.77
120	352	7	31.1
575	224	4	34.67
109	710	4	16.88
274	162	41	422.91
148	767	12	115.55
135	126	6	4.97
116	728	6	34.04
205	145	3	7.73
2776	115	3	21.91
147	423	3	14.69
133	303	3	9.98
3028	1617	3	50.47
275	1206	8	103.49
143	163	23	123.94
105	833	3	10.6
1623	483	3	37.97
503	131	3	14.04
393	14	23	67.26
188	639	5	43.41
